2025-04-26 20:28:15,942 - INFO - Exited LONG at 94622.14 → Return: -0.01%, Reason: signal_flip, Capital: 10.00
2025-04-26 20:28:15,942 - INFO - Entered LONG at 94389.70, Size: 0.0000, Capital: 9.90
2025-04-26 20:28:15,944 - INFO - Backtest complete: 21 trades, Avg Return: -0.03%
2025-04-26 20:28:15,944 - INFO - Entered LONG at 93415.38, Size: 0.0000, Capital: 9.90
2025-04-26 20:28:15,944 - INFO - Exited LONG at 93212.27 → Return: -0.22%, Reason: signal_flip, Capital: 10.00
2025-04-26 20:28:15,945 - INFO - Entered LONG at 92966.11, Size: 0.0000, Capital: 9.90
2025-04-26 20:28:15,945 - INFO - Exited LONG at 92974.43 → Return: 0.01%, Reason: signal_flip, Capital: 10.00
2025-04-26 20:28:15,946 - INFO - Entered LONG at 93653.42, Size: 0.0000, Capital: 9.90
2025-04-26 20:28:15,946 - INFO - Exited LONG at 93362.66 → Return: -0.31%, Reason: signal_flip, Capital: 10.00
2025-04-26 20:28:15,946 - INFO - Entered LONG at 93057.03, Size: 0.0000, Capital: 9.90
2025-04-26 20:28:15,946 - INFO - Exited LONG at 93798.22 → Return: 0.80%, Reason: signal_flip, Capital: 10.00
2025-04-26 20:28:15,947 - INFO - Entered LONG at 93500.75, Size: 0.0000, Capital: 9.90
2025-04-26 20:28:15,947 - INFO - Exited LONG at 93519.48 → Return: 0.02%, Reason: signal_flip, Capital: 10.00
2025-04-26 20:28:15,947 - INFO - Entered LONG at 93687.07, Size: 0.0000, Capital: 9.90
2025-04-26 20:28:15,947 - INFO - Exited LONG at 93585.72 → Return: -0.11%, Reason: signal_flip, Capital: 10.00
2025-04-26 20:28:15,947 - INFO - Entered LONG at 93455.33, Size: 0.0000, Capital: 9.90
2025-04-26 20:28:15,948 - INFO - Exited LONG at 93120.25 → Return: -0.36%, Reason: signal_flip, Capital: 10.00
2025-04-26 20:28:15,948 - INFO - Entered LONG at 92820.50, Size: 0.0000, Capital: 9.90
2025-04-26 20:28:15,948 - INFO - Exited LONG at 92540.48 → Return: -0.30%, Reason: signal_flip, Capital: 10.00
2025-04-26 20:28:15,948 - INFO - Entered LONG at 92233.58, Size: 0.0000, Capital: 9.90
2025-04-26 20:28:15,948 - INFO - Exited LONG at 92497.34 → Return: 0.29%, Reason: signal_flip, Capital: 10.00
2025-04-26 20:28:15,949 - INFO - Entered LONG at 93315.51, Size: 0.0000, Capital: 9.90
2025-04-26 20:28:15,949 - INFO - Exited LONG at 93228.59 → Return: -0.09%, Reason: signal_flip, Capital: 10.00
2025-04-26 20:28:15,950 - INFO - Entered LONG at 93476.48, Size: 0.0000, Capital: 9.90
2025-04-26 20:28:15,950 - INFO - Exited LONG at 93274.90 → Return: -0.22%, Reason: signal_flip, Capital: 10.00
2025-04-26 20:28:15,950 - INFO - Entered LONG at 93370.45, Size: 0.0000, Capital: 9.90
2025-04-26 20:28:15,950 - INFO - Exited LONG at 93051.36 → Return: -0.34%, Reason: signal_flip, Capital: 10.00
2025-04-26 20:28:15,951 - INFO - Entered LONG at 93323.94, Size: 0.0000, Capital: 9.90
2025-04-26 20:28:15,951 - INFO - Exited LONG at 93477.03 → Return: 0.16%, Reason: signal_flip, Capital: 10.00
2025-04-26 20:28:15,951 - INFO - Entered LONG at 94037.95, Size: 0.0000, Capital: 9.90
2025-04-26 20:28:15,951 - INFO - Exited LONG at 94152.23 → Return: 0.12%, Reason: signal_flip, Capital: 10.00
2025-04-26 20:28:15,952 - INFO - Entered LONG at 95157.02, Size: 0.0000, Capital: 9.90
2025-04-26 20:28:15,952 - INFO - Exited LONG at 95007.68 → Return: -0.16%, Reason: signal_flip, Capital: 10.00
2025-04-26 20:28:15,952 - INFO - Entered LONG at 94766.45, Size: 0.0000, Capital: 9.90
2025-04-26 20:28:15,953 - INFO - Exited LONG at 94599.50 → Return: -0.18%, Reason: signal_flip, Capital: 10.00
2025-04-26 20:28:15,953 - INFO - Entered LONG at 94756.54, Size: 0.0000, Capital: 9.90
2025-04-26 20:28:15,953 - INFO - Exited LONG at 94611.97 → Return: -0.15%, Reason: signal_flip, Capital: 10.00
2025-04-26 20:28:15,953 - INFO - Entered LONG at 94907.01, Size: 0.0000, Capital: 9.90
2025-04-26 20:28:15,953 - INFO - Exited LONG at 94985.65 → Return: 0.08%, Reason: signal_flip, Capital: 10.00
